iter	Passed	Remaining
824	1219	258
825	1221	257
826	1223	255
827	1224	254
828	1226	252
829	1227	251
830	1229	249
831	1230	248
832	1231	246
833	1233	245
834	1234	243
835	1235	242
836	1237	240
837	1238	239
838	1239	237
839	1241	236
840	1242	234
841	1244	233
842	1245	232
843	1246	230
844	1248	228
845	1249	227
846	1251	226
847	1253	224
848	1254	223
849	1255	221
850	1257	220
851	1258	218
852	1260	217
853	1261	215
854	1263	214
855	1264	212
856	1265	211
857	1267	209
858	1268	208
859	1270	206
860	1271	205
861	1273	203
862	1274	202
863	1276	200
864	1277	199
865	1279	197
866	1280	196
867	1282	194
868	1283	193
869	1285	192
870	1286	190
871	1288	189
872	1289	187
873	1291	186
874	1292	184
875	1293	183
876	1295	181
877	1296	180
878	1298	178
879	1299	177
880	1301	175
881	1302	174
882	1303	172
883	1305	171
884	1306	169
885	1308	168
886	1309	166
887	1311	165
888	1312	163
889	1314	162
890	1315	160
891	1317	159
892	1318	158
893	1320	156
894	1321	155
895	1322	153
896	1324	152
897	1325	150
898	1327	149
899	1329	147
900	1330	146
901	1332	144
902	1333	143
903	1335	141
904	1336	140
905	1337	138
906	1339	137
907	1340	135
908	1342	134
909	1343	132
910	1345	131
911	1346	129
912	1348	128
913	1349	127
914	1351	125
915	1353	124
916	1354	122
917	1356	121
918	1357	119
919	1359	118
920	1361	116
921	1362	115
922	1364	113
923	1365	112
924	1367	110
925	1368	109
926	1370	107
927	1371	106
928	1373	104
929	1374	103
930	1375	101
931	1377	100
932	1378	98
933	1379	97
934	1381	96
935	1382	94
936	1384	93
937	1385	91
938	1387	90
939	1389	88
940	1390	87
941	1392	85
942	1393	84
943	1395	82
944	1396	81
945	1397	79
946	1399	78
947	1400	76
948	1402	75
949	1403	73
950	1405	72
951	1406	70
952	1408	69
953	1409	67
954	1411	66
955	1412	65
956	1414	63
957	1415	62
958	1417	60
959	1418	59
960	1419	57
961	1421	56
962	1422	54
963	1423	53
964	1425	51
965	1426	50
966	1428	48
967	1430	47
968	1431	45
969	1433	44
970	1434	42
971	1436	41
972	1437	39
973	1439	38
974	1440	36
975	1442	35
976	1443	33
977	1445	32
978	1446	31
979	1448	29
980	1449	28
981	1451	26
982	1452	25
983	1454	23
984	1455	22
985	1457	20
986	1458	19
987	1460	17
988	1461	16
989	1463	14
990	1464	13
991	1466	11
992	1467	10
993	1469	8
994	1470	7
995	1472	5
996	1473	4
997	1475	2
998	1476	1
999	1478	0
